what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909646290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909676840
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909680883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909976909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909981590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472909999357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472910002593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472910102339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472910107260
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472955309459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472955310529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472956471271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472956475480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472990855090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472991069776
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472991369718
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472991371686
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1472991372611
